,ID_Produkta,Ime_Produkta,Število_Ocen,Opis,Razpoložljivost,Partner,Cena
39,28931796,"Liebherr GNe 52Z7 zamrzovalna omara, NoFrost",N/A,"Liebherr zamrzovalna omara s prostornino 277,9 l se ponaša z NoFrost delovanjem, ki preprečuje nabiranje ledu in zmrzali v notranjosti. Spada v energijski razred E in je opremljena s sedmimi predali.",7.9.,Mimovrste,749 €
40,2833221,Bosch GIV21AFE0 vgradni zamrzovalnik,N/A,"Bosch GIV21AFE0 vgradni zamrzovalnik s prostornino 96 l, tremi predali, tihim delovanjem in energetsko učinkovitostjo.",4.9.,Mimovrste,675 €
41,588190,"Liebherr GX 823 zamrzovalna skrinja, SmartFrost",8x,"Namizna zamrzovalna skrinja Liebherr GX 823 Comfort s prostornino 68 l se uvršča v energijski razred F. Ima SmartFrost sistem za manj nabiranja ledu na živilih, 2 predala ter LCD zaslon z grafičnim prikazom temperature. Na dan zamrzne do 6 kg živil, v primeru motenj napajanja pa jih ohranja zamrznjena še 14 ur.",7.9.,Mimovrste,449 €
42,28928880,"Liebherr GNe 46Z5 zamrzovalna omara, NoFrost",1x,"Liebherr zamrzovalna omara s prostornino 199,7 l se ponaša z NoFrost delovanjem, ki preprečuje nabiranje ledu in zmrzali v notranjosti. Spada v energijski razred E in je opremljena s petimi predali.",7.9.,Mimovrste,649 €
43,33884280,Candy CVIOUS 514 FWHE zamrzovalna omara,N/A,"Zamrzovalna omara Candy CVIOUS 514 FWHE s skupno prostornino 188 litrov spada v energijski razred F. Ima mehansko upravljanje, 6 zamrzovalnih predalov in zmogljivost zamrzovanja 9,1 kg/24 h.",4.9.,Mimovrste,"359,90 €"
44,2738237,Bosch GIV11AFE0 vgradni zamrzovalnik,N/A,Vgradni zamrzovalnik Bosch GIV11AFE0 odlikuje skupna uporabna prostornina 72 litrov. Uvršča se v energijski razred E.,4.9.,Mimovrste,623 €
45,4994584,Candy CFFO 3550 E/N vgradna zamrzovalna omara,1x,Vgradna zamrzovalna skrinja Candy CFFO 3550 E/N s prostornino 200 l in zmogljivostjo zamrzovanja 10 kg / 24 ur. V primeru izpada elektrike vsebino varno shranjuje še 11 ur. Spada v razred energijske učinkovitosti F.,4.9.,Mimovrste,"569,90 €"
46,28599401,"Liebherr FNd 5227 zamrzovalna omara, NoFrost",N/A,"Liebherr zamrzovalna omara s prostornino 277 l se ponaša z NoFrost delovanjem, ki preprečuje nabiranje ledu in zmrzali v notranjosti. Spada v energijski razred D in je opremljena s sedmimi predali.",7.9.,Mimovrste,979 €
47,28597064,"Liebherr FNc 7277 zamrzovalna omara, NoFrost",N/A,"Liebherr zamrzovalna omara s prostornino 363 l se ponaša z NoFrost delovanjem, ki preprečuje nabiranje ledu in zmrzali v notranjosti. Spada v energijski razred C in je opremljena s sedmimi predali.",11.9.,Mimovrste,1.599 €
48,10541064,Liebherr UG 1211 okrasna podpultna zamrzovalna omara,N/A,"Okrasna podpultna zamrzovalna omara UG 1211 sodi v energetski razred F in ponuja 100 litrov zamrzovalne prostornine. Ponuja se s sistemom SmartFrost, FrostSafe in VarioSpace.",7.9.,Mimovrste,879 €
